ChLabel	X3	Y3	Z3	X2	Y2
'E1'	6.96223	5.38242	-2.19061	0.852713666	0.599613536
'E2'	6.48414	6.40424	-0.14004	0.738416647	0.673891996
'E3'	5.69945	7.20796	1.79088	0.628356015	0.741009071
'E4'	4.81093	7.77321	3.65006	0.500772537	0.758457116    
'E5'	3.61962	7.47782	5.50947	0.36867241	0.71207283
'E6'	2.25278	6.46157	6.96317	0.231914197	0.61508766
'E7'	1.18879	5.21755	8.13378	0.121401574	0.483123712
'E8'	0	3.59608	8.75111	1.98E-17	0.323078283
'E9'	-1.15339	1.51369	9.19904	-0.119151591	0.106093769
'E10'	5.94022	7.38337	-1.51513	0.670884359	0.778905164
'E11'	5.07624	8.37264	0.40595	0.539481357	0.838084412
'E12'	3.87946	9.03611	2.51559	0.395134957	0.870783757
'E13'	2.60756	8.97868	4.39107	0.258876628	0.843077492
'E14'	1.23344	8.11574	6.06161	0.122779216	0.759410712
'E15'	0	6.81181	7.28186	3.91E-17	0.637765116
'E16'	-1.18879	5.21755	8.13378	-0.121401574	0.483123712
'E17'	-2.29559	2.91372	8.5581	-0.241121859	0.254926871
'E18'	4.06489	9.40559	-0.89098	0.423628567	0.929495408
'E19'	2.86784	10.01456	0.85212	0.286117292	0.950570986
'E20'	1.42153	10.06322	2.84803	0.139390697	0.939043
'E21'	0	9.40339	4.65829	5.34E-17	0.871590286
'E22'	-1.23344	8.11574	6.06161	-0.122779216	0.759410712
'E23'	-2.25278	6.46157	6.96317	-0.231914197	0.61508766
'E24'	-3.34467	4.40891	7.67253	-0.350532296	0.411060367
'E25'	1.39547	10.65281	-0.61138	0.13875325	1.01082847
'E26'	0	10.68996	1.00542	6.07E-17	0.99120268
'E27'	-1.42153	10.06322	2.84803	-0.139390697	0.939043
'E28'	-2.60756	8.97868	4.39107	-0.258876628	0.843077492
'E29'	-3.61962	7.47782	5.50947	-0.36867241	0.71207283
'E30'	-4.49828	5.59395	6.28801	-0.472915021	0.536937505
'E31'	0	10.56381	-2.05108	6.33E-17	1.033838216
'E32'	-1.39547	10.65281	-0.61138	-0.13875325	1.01082847
'E33'	-2.86784	10.01456	0.85212	-0.286117292	0.950570986
'E34'	-3.87946	9.03611	2.51559	-0.395134957	0.870783757
'E35'	-4.81093	7.77321	3.65006	-0.500772537	0.758457116
'E36'	-5.10466	6.41586	4.77815	-0.545454941	0.633556323
'E37'	-4.06489	9.40559	-0.89098	-0.423628567	0.929495408
'E38'	-5.07624	8.37264	0.40595	-0.539481357	0.838084412
'E39'	-5.69945	7.20796	1.79088	-0.628356015	0.741009071
'E40'	-6.16984	6.11292	3.29612	-0.676956678	0.61731053
'E41'	-6.01447	4.93908	4.85771	-0.659416807	0.488151774
'E42'	-5.33943	3.8022	6.32664	-0.581980479	0.361378701
'E43'	-4.64127	2.57224	7.50868	-0.495437927	0.222623466
'E44'	-3.53746	1.07133	8.47419	-0.371142287	0.061338055
'E45'	-1.99458	-0.60998	9.2887	-0.201256731	-0.110656997
'E46'	-5.94022	7.38337	-1.51513	-0.670884359	0.778905164
'E47'	-6.48414	6.40424	-0.14004	-0.738416647	0.673891996
'E48'	-6.97545	5.35131	1.30741	-0.804964295	0.561374156
'E49'	-7.10064	4.23342	2.91874	-0.818888644	0.432094355
'E50'	-6.86564	3.1624	4.768	-0.764920014	0.298107166
'E51'	-6.1138	1.94213	6.23844	-0.671090519	0.159757479
'E52'	-5.31389	0.60081	7.48811	-0.56076871	0.012041897
'E53'	-3.72368	-1.14573	8.58697	-0.379011296	-0.166155365
'E54'	-6.96223	5.38242	-2.19061	-0.852713666	0.599613536
'E55'	-7.31613	4.37155	-0.61128	-0.901287939	0.478582044
'E56'	-7.66385	3.29619	1.04415	-0.925365508	0.339229649
'E57'	-7.62423	2.30205	2.81799	-0.901629394	0.214680423
'E58'	-7.3657	1.34368	4.60382	-0.82558908	0.096055138
'E59'	-6.70292	0.06004	6.23992	-0.71198776	-0.045320054
'E60'	-5.40372	-1.61247	7.47343	-0.554636954	-0.215458472
'E61'	-7.54098	3.05323	-2.51935	-0.998669763	0.33989162
'E62'	-7.77059	2.06323	-0.80729	-1.001210625	0.203129825
'E63'	-7.96921	1.20744	0.97332	-0.982450176	0.088853367
'E64'	-8.06621	0.40109	2.78565	-0.931733169	-0.009888867
'E65'	-7.60767	-0.5684	4.59939	-0.832269164	-0.115426562
'E66'	-6.81554	-1.94522	5.93053	-0.710960335	-0.253684764
'E67'	-7.69315	1.74041	-4.18153	-1.107633253	0.18050485
'E68'	-7.74468	1.05291	-2.47059	-1.052294439	0.076932763
'E69'	-7.93758	0.0722	-0.96992	-1.021568096	-0.053346231
'E70'	-7.98893	-0.75212	0.84194	-0.977498816	-0.151577881
'E71'	-8.05947	-1.50296	2.76753	-0.908623735	-0.224314043
'E72'	-7.56445	-2.31141	4.30327	-0.812075819	-0.300388987
'E73'	-7.52646	0.73096	-5.96025	-1.217086196	0.039498712
'E74'	-7.76752	-1.84131	-0.92719	-0.979419975	-0.29354279
'E75'	-7.79279	-2.73175	1.10033	-0.910769304	-0.376150963
'E76'	-7.46191	-3.49308	2.95937	-0.821444492	-0.43811415
'E77'	-6.86934	-3.79448	4.89401	-0.711975297	-0.443724492
'E78'	-5.65276	-3.84604	6.52108	-0.570915242	-0.437596379
'E79'	-4.12465	-3.548	7.95405	-0.407672422	-0.398781939
'E80'	-2.23647	-2.95809	8.92461	-0.220348216	-0.339397949
'E81'	0	-1.93834	9.45867	1.47E-17	-0.23984671
'E82'	-7.12806	-0.49186	-7.34929	-1.29076105	-0.177199285
'E83'	-7.3792	-3.49709	-2.18347	-0.917710591	-0.49544209
'E84'	-7.52183	-3.70044	-0.51432	-0.891366189	-0.496192419
'E85'	-7.15214	-4.71132	1.51762	-0.791334921	-0.575125032
'E86'	-6.48817	-5.15829	3.47294	-0.689176117	-0.599613186
'E87'	-5.53051	-5.46184	5.50189	-0.552228234	-0.593969044
'E88'	-4.03809	-5.23807	7.04455	-0.396230214	-0.561732612
'E89'	-2.29514	-4.87829	8.27223	-0.220325963	-0.515021562
'E90'	0	-3.74195	9.02791	2.52E-17	-0.41080434
'E91'	-6.82585	-1.86426	-8.69399	-1.290957054	-0.444631569
'E92'	-6.74047	-2.8484	-6.74712	-1.127484589	-0.557865231
'E93'	-6.78379	-4.01784	-5.01755	-0.959772836	-0.637303798
'E94'	-7.03346	-4.4509	-3.54895	-0.886041541	-0.622015155
'E95'	-6.99052	-5.01694	-1.8881	-0.81280915	-0.639925063
'E96'	-6.67571	-5.73608	0.10234	-0.730561208	-0.680994482
'E97'	-5.96851	-6.52864	2.03293	-0.627223125	-0.737233158
'E98'	-5.10822	-6.74936	3.92134	-0.519307681	-0.73562641
'E99'	-3.75216	-6.67734	5.63719	-0.372740965	-0.71167839
'E100'	-2.14874	-6.2919	7.11453	-0.208321014	-0.657187388
'E101'	0	-7.15042	6.95434	4.42E-17	-0.722345862
'E102'	-6.36989	-3.8247	-8.20622	-1.093222741	-0.739937507
'E103'	-6.24349	-4.6225	-6.49623	-0.947423035	-0.775299355
